City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
606,Pundaguitan,PH,81.66,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
607,Lumut,MY,78.82,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
609,Kuantan,MY,78.91,few clouds,3.8077,103.326,Hotel Sentral Kuantan
616,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
617,Jalu,LY,83.14,overcast clouds,29.0331,21.5482,صاحبة الفخامة
618,Itoman,JP,77.77,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
620,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
621,Garissa,KE,80.13,light rain,-0.4536,39.6401,Sharif Plaza Hotel
622,Sarankhola,BD,78.93,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
623,Healdsburg,US,76.1,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
624,Lhokseumawe,ID,77.97,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
627,Morgan City,US,82.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
629,Grand Baie,MU,76.44,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
630,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
634,Oranjestad,AW,80.02,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
640,Bac Lieu,VN,81.86,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
645,Alenquer,BR,79.93,overcast clouds,-1.9417,-54.7383,Detinha Hotel
646,Eyl,SO,81.86,scattered clouds,7.9803,49.8164,Amiin Hotel
649,San Policarpo,PH,81.16,moderate rain,12.1791,125.5072,Agapita M. Nicart
650,Montelibano,CO,87.39,overcast clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
653,Belmonte,BR,78.55,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
