City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Celestun,MX,2022-04-16 17:57:21,20.8667,-90.4,89.13,52,42,6.38
184,Iskateley,RU,2022-04-16 17:57:21,67.6803,53.1512,8.24,99,92,4.29
185,Codrington,AU,2022-04-16 17:57:21,-38.2667,141.9667,68.07,41,94,16.62
186,Mount Gambier,AU,2022-04-16 17:57:22,-37.8333,140.7667,60.71,67,97,11.5
187,Chipinge,ZW,2022-04-16 17:57:22,-20.1883,32.6236,64.06,93,98,5.26
188,Moranbah,AU,2022-04-16 17:57:23,-22.0016,148.0466,63.05,88,4,7.54
189,Strezhevoy,RU,2022-04-16 17:53:22,60.7333,77.5889,37.62,91,95,9.66
190,Taft,IR,2022-04-16 17:57:23,31.7471,54.2088,71.55,25,75,9.22
191,Kaura Namoda,NG,2022-04-16 17:57:24,12.5898,6.5779,81.64,56,95,20.22
192,Mumford,GH,2022-04-16 17:57:24,5.2618,-0.759,79.56,83,100,6.58
193,Arraial Do Cabo,BR,2022-04-16 17:57:24,-22.9661,-42.0278,75.16,69,40,21.85
194,Tornio,FI,2022-04-16 17:57:25,65.8481,24.1466,32.02,97,56,4.12
195,Thompson,CA,2022-04-16 17:52:56,55.7435,-97.8558,19.56,49,75,9.22
196,Samoylovka,RU,2022-04-16 17:57:25,51.184,43.7081,52.95,73,100,7.16
197,Leningradskiy,RU,2022-04-16 17:57:26,69.3833,178.4167,-2.88,98,70,6.35
198,Hofn,IS,2022-04-16 17:57:26,64.2539,-15.2082,45.86,99,100,12.93
199,San Carlos,VE,2022-04-16 17:57:26,9.6612,-68.5827,92.68,37,83,6.42
200,Longyearbyen,SJ,2022-04-16 17:57:27,78.2186,15.6401,26.44,74,75,12.66
201,Cidreira,BR,2022-04-16 17:57:27,-30.1811,-50.2056,69.01,57,100,5.93
202,Yulara,AU,2022-04-16 17:57:28,-25.2406,130.9889,75.04,46,32,6.91
203,Buchanan,LR,2022-04-16 17:57:28,5.8808,-10.0467,81.16,81,91,7.61
204,Derzhavinsk,KZ,2022-04-16 17:57:28,51.1,66.3167,51.13,67,93,4.9
205,Yerbogachen,RU,2022-04-16 17:57:29,61.2767,108.0108,34.02,98,100,6.44
206,Vila Franca Do Campo,PT,2022-04-16 17:57:29,37.7167,-25.4333,66.61,79,100,7.94
207,Ponta Do Sol,PT,2022-04-16 17:57:30,32.6667,-17.1,75.7,51,100,7.43
208,Olga,RU,2022-04-16 17:57:30,43.7444,135.2892,43.14,68,100,5.14
209,Tecoanapa,MX,2022-04-16 17:57:30,16.5167,-98.75,87.35,50,24,11.43
210,Kristiansund,NO,2022-04-16 17:57:31,63.1115,7.732,50.05,81,0,8.05
211,San Quintin,MX,2022-04-16 17:57:31,30.4833,-115.95,64.74,68,64,21.81
212,Fairbanks,US,2022-04-16 17:57:32,64.8378,-147.7164,21.2,38,0,4.61
213,Schladming,AT,2022-04-16 17:57:32,47.3929,13.687,36.54,100,94,7.9
214,Mahebourg,MU,2022-04-16 17:57:32,-20.4081,57.7,77.29,78,40,10.36
215,Mut,TR,2022-04-16 17:57:33,36.6439,33.4389,64.15,48,37,2.57
216,Fort Morgan,US,2022-04-16 17:57:33,40.2503,-103.8,48.85,31,0,19.57
217,Gamboula,CF,2022-04-16 17:57:33,4.1178,15.1393,76.64,70,48,2.57
218,Goranboy,AZ,2022-04-16 17:57:34,40.6103,46.7897,57.36,48,100,5.64
219,Arandis,NA,2022-04-16 17:57:34,-22.4167,14.9667,70.39,41,2,4.36
